pid,name,site,price,broadcast_date,image_url
2064441016,오하루 자연가득 프리미엄 메이플 견과 4박스+정과 1세트,cjmall,109000,2025-09-06T20:45:00+09:00,http://cdn.image.buzzni.com/2025/10/13/qPQj1bXk.jpg
54314628,"[바른투어] [상담예약] 중국여행의 종착지, 차마고도를 따라 리장/쿤밍 5일 or 6일 여행",bshop,0,2025-09-06T21:21:00+09:00,http://cdn.image.buzzni.com/2025/09/04/36tPmOWA.jpg
2044404714,<역대최대SALE>바디프랜드 메디컬 안마의자 의료기기 시리즈[메디컬파라오/메디컬팬텀],cjmall,0,2025-09-06T21:35:00+09:00,http://cdn.image.buzzni.com/2025/10/10/ImvAS1a7.jpg
1091390619,라삐아프 25FW 코스모스 울 노르딕 반팔니트 1종,gsshop,79900,2025-09-06T21:35:00+09:00,http://cdn.image.buzzni.com/2025/09/02/FtVB4BWb.jpg
66231368,[롯데관광단독/NO쇼핑 초특가]미서부 10일 vs [메이플 시즌 임박] 미동부/캐나다 10일,hnsmall,0,2025-09-06T21:35:00+09:00,http://cdn.image.buzzni.com/2025/09/05/D7QfFkQi.jpg
12871960,[상담예약] 참좋은여행 동유럽 3국 7일 패키지,lotteimall,0,2025-09-06T21:35:00+09:00,http://cdn.image.buzzni.com/2025/09/03/JcHr0a72.jpg
2239430107,[롯데관광][NO팁/NO옵션/대한항공] 프리미엄 장가계 5/6일 완전일주,hmall,1057000,2025-09-06T21:40:00+09:00,http://cdn.image.buzzni.com/2025/09/04/ggS98X01.jpg
2055028048,[판매 1등]최신상 아로셀 슈퍼콜라겐 마스크 64매+랩핑마스크,cjmall,189000,2025-09-06T21:45:00+09:00,http://cdn.image.buzzni.com/2025/04/09/baZ2ebUV.jpg
35437658,데비마이어 대표님 패키지(946mlX4+1.4LX3+1.8LX3+빅박스 2개+패밀리박스 2개+멀티그린볼+원형디바이드+잡곡통(1.5L+1L)+칼만IH압력냄비 7L(색상랜덤)),nsmall,159000,2025-09-06T21:45:00+09:00,http://cdn.image.buzzni.com/2025/09/02/ymK5SpSz.jpg
20854138,[W단독방송]솥밥대통령 골드 3-4인용 세트,wshop,248000,2025-09-06T22:23:00+09:00,http://cdn.image.buzzni.com/2025/04/11/ehu6TV75.jpg
2063000655,[1만원인하][by 임지연] 더엣지 25FW 에뜨왈 체크 셔츠,cjmall,59900,2025-09-06T22:30:00+09:00,http://cdn.image.buzzni.com/2025/10/17/63TWCyRr.jpg
2239887183,[바게지] 밸런스 스폰지 마스크 50주년 기념 동지현패키지,hmall,148000,2025-09-06T22:30:00+09:00,http://cdn.image.buzzni.com/2025/09/03/fOo6zn8i.jpg
12869268,25FW 쥬얼 모크넥 풀오버 5종,lotteimall,49900,2025-09-06T22:30:00+09:00,http://cdn.image.buzzni.com/2025/09/02/rSITr8fo.jpg
5950567,[보물섬투어]아시아나 타고가는 오색만족 풍경구 망산여행 3박5일,kshop,0,2025-09-06T22:33:00+09:00,http://cdn.image.buzzni.com/2025/09/05/fTQjZk2j.jpg
23739082,"[하나투어] 보홀 4일,5일(라메디 VS 헤난알로나비치)",shopnt,0,2025-09-06T22:33:00+09:00,http://cdn.image.buzzni.com/2025/09/04/GBL0cnt6.jpg
1083282816,[매진임박] 플레이텍스 NEW 에어리쉐이핑 브라팬티5세트,gsshop,149900,2025-09-06T22:38:00+09:00,https://asset.m-gs.kr/api/550/1/1083282816.jpg
2239587505,[롯데관광][대한항공] 방콕/파타야 VS 치앙마이/치앙라이 5일,hmall,899000,2025-09-06T22:40:00+09:00,http://cdn.image.buzzni.com/2025/09/03/TDZn9d7L.jpg
11847153,2024 F/W [피에라벨라] 램스킨 레더 블록 재킷,immall,39900,2025-09-06T22:45:00+09:00,"https://img.publichs.com/ECMCFO/share/product/53/71/84/17319593.jpg/dims/resize/Q_80,640"
46769528,[쏘헤어] 100% 모로코산 아르간오일 함유 대용량 탈모 기능성 샴푸 5000g 갓성비패키지(+무료체험분),hnsmall,69000,2025-09-06T22:50:00+09:00,http://cdn.image.buzzni.com/2025/09/30/VHEk739P.jpg
35454611,엠디래쉬팩터 속눈썹 영양제 아이래쉬 컨디셔너 2.95ml,nsmall,168000,2025-09-06T22:50:00+09:00,http://cdn.image.buzzni.com/2025/09/05/0acSQsXD.jpg
2239825902,[온누리투어][현대단독][NO옵션 베트남특집전] 푸꾸옥 5일 or 나트랑/달랏 5일,hmall,746000,2025-09-06T23:30:00+09:00,http://cdn.image.buzzni.com/2025/09/03/i465zDdP.jpg
5804061,버버리 나일론 자켓 / 8042901,kshop,1740000,2025-09-06T23:33:00+09:00,http://imgs.kshop.co.kr/d2/product/emc/202403/A3/62/4006/A3624006_550_20240328100003.jpg
12856317,＊옥스클로즈 후드 트렌치 코트 (81041851),lotteimall,1650000,2025-09-06T23:40:00+09:00,http://cdn.image.buzzni.com/2025/04/30/qs3j9W2O.png
2057499618,캐나다 옥스포드 와일드 블루베리 340g x 15팩 총 5.1kg,cjmall,69900,2025-09-06T23:45:00+09:00,http://cdn.image.buzzni.com/2025/05/29/3fCknlia.jpg
11905024,가격인하 [가쯔] 오래쓰는 변기크리너 12개,immall,35910,2025-09-06T23:45:00+09:00,"https://img.publichs.com/ECMCFO/share/product/24/50/90/17760275.jpg/dims/resize/Q_80,640"
35449350,노랑풍선 칭다오 월드체인 쉐라톤+3대야경+해천만온천 4일,nsmall,0,2025-09-06T23:55:00+09:00,http://cdn.image.buzzni.com/2025/09/04/Rhyxgls8.jpg
35406012,어반캠퍼 원터치 텐트,nsmall,99000,2025-09-07T00:04:00+09:00,http://cdn.image.buzzni.com/2025/09/03/jS7cyIhj.jpg
2236387949,무배당 흥국화재 흥Good The건강한종합보험(암치료집중플랜),hmall,1701700,2025-09-07T00:20:00+09:00,http://cdn.image.buzzni.com/2025/07/04/HsXsY93w.jpg
39548050,꾸띄르 헤어 더블 꾸띄르헤어 스킨락토7714 염색샴푸 190ml 6개+드라이어 시즌 4,bshop,109800,2025-09-07T00:21:00+09:00,http://imagecdn.skstoa.com/goods/050/39548050_g.jpg?time=20240509160856
20066664,[롯데카드5%할인][25FW최신상] 블루핏 터키 보싸 데님 (BLACK LABEL),ssgshop,99000,2025-09-07T00:27:00+09:00,http://cdn.image.buzzni.com/2025/08/25/iDrLe7tB.jpg
4983338,키플링 토트백 (민타),kshop,109000,2025-09-07T00:33:00+09:00,http://imgs.kshop.co.kr//d2/product/emc/202503/49/83/338/4983338_550_20250311113843.jpg
1069890095,프롬더스킨 글루타치온 콜라겐팩 더블 구성,gsshop,138000,2025-09-07T00:38:00+09:00,http://cdn.image.buzzni.com/2025/01/03/TQhR294a.jpg
2237733472,달바 화이트 트러플 프라임 세럼 (리프팅 크림),hmall,94000,2025-09-07T00:40:00+09:00,http://cdn.image.buzzni.com/2025/08/01/bNXT4oi9.jpg
12870481,☆더턴 드림파워 건강팔찌 클래식 + [방송중에만]블랑 테니스 주얼리 3종세트,lotteimall,149000,2025-09-07T00:40:00+09:00,http://cdn.image.buzzni.com/2025/09/01/LEEEY6kl.jpg
2052511459,★앵콜리오더★ 지스튜디오 메리제인 슈즈,cjmall,59000,2025-09-07T00:45:00+09:00,http://cdn.image.buzzni.com/2025/03/11/p8P2v8vD.png
2018423564,[14년 독일1등] 포모라인 다이어트 Extra 90정x2박스,cjmall,198000,2025-09-07T01:00:00+09:00,http://cdn.image.buzzni.com/2023/11/02/uQBqN4NI.jpg
66387071,[방송에서만 팬티 10종][백화점 동일사양][비비안] 프리모션 360 쉐이핑 팬티패키지,hnsmall,69900,2025-09-07T01:00:00+09:00,http://cdn.image.buzzni.com/2025/08/28/lsvhZ1UC.jpg
11916944,가족 의성眞 햇 복숭아(황도) 4kg*1box,immall,39900,2025-09-07T01:00:00+09:00,http://cdn.image.buzzni.com/2025/08/20/LMcN5qkF.jpg
12863720,25FW 캐시미어 시퀸 블렌드 소프트 하프슬리브 니트,lotteimall,109000,2025-09-07T01:00:00+09:00,http://cdn.image.buzzni.com/2025/08/22/J7NSnf8A.jpg
35124039,시즌8 이경제 더힘찬 통녹용 사슴진액(66mlX30포)X8박스,nsmall,399000,2025-09-07T01:00:00+09:00,http://cdn.image.buzzni.com/2025/09/01/9vXpPbuX.jpg
35380527,푸마 드라이셀 퍼포먼스 드로즈 10종,nsmall,69900,2025-09-07T01:04:00+09:00,http://cdn.image.buzzni.com/2025/08/13/IJn5GPFf.jpg
1088951960,골드파로효소 캡슐레이션 10박스,gsshop,239000,2025-09-07T01:05:00+09:00,http://cdn.image.buzzni.com/2025/08/11/plL8xZ31.jpg
